url,page_title,heading_level,heading,content
https://sa.vitalaire.com,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,VitalAire Arabia Head Office Riyadh,"Sunday to Thursday 8:00 AM to 5:30 PM

Phone Number

AlNajem Buisness Center, King Faisal road, AlMazruiyah - Dammam 32414, KSA, Office 22, 4th floor,

Contact us on WhatsApp / https://wa.me/+966500151059

Sunday to Thursday 8:30 AM to 5:30 PM

Phone Number

Mezzanine Floor, Office # 6 El Aqsa for Business Bldg. شركة فيتالير العربية فرع جدة, Al-Rehab, Jeddah 23345

Contact us on WhatsApp / https://wa.me/+966500151059

Sunday to Thursday 8:30 AM to 5:30 PM

Phone Number

4063 Prince Fawaz Bin Abdulaziz St, 7999, Ar Rabwah, Riyadh 12813, Saudi Arabia

Contact us on WhatsApp / https://wa.me/+966500151059

• Locations

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/diabetes,What is Diabetes? | VitalAire Arabia,h1,What is Diabetes?,"Diabetes is a serious, chronic condition that affects millions of people around the world.

It is very common — an estimated 537 million adults worldwide have some form of diabetes, and new cases are increasing by an average of 3% each year.

Diabetes is a long-term condition that causes blood glucose levels to be raised. The condition occurs when the pancreas cannot produce enough insulin, the hormone that lowers blood glucose, or when the body cannot effectively use the insulin.

There are different types of diabetes. You can find out about the main types of diabetes — including causes, symptoms and treatments — below.

About 5–10% of people with diabetes have type 1. It is caused by the body’s immune system attacking and destroying cells in the pancreas, which means the body can’t produce enough (and most of the time, any) insulin.

The exact reason of type 1 diabetes currently isn’t known. However, risk factors for developing type 1 include your family history, ethnicity and a history of certain viral infections in childhood. The majority of type 1 diabetes occurs in children and adolescents. At the moment there is no treatment that can prevent you from getting type 1 diabetes.

Every person is different, but there are some characteristic symptoms that are often present when type 1 diabetes starts. These can include excessive thirst and urination, weight loss, constant hunger, fatigue and vision changes.

People with type 1 diabetes need to take insulin every day to regulate the amount of glucose in their blood. This is typically administered either as injections or as a continuous infusion under the skin, through insulin pump therapy (also known as CSII — continuous subcutaneous insulin infusion).

Reaching blood glucose targets is very important in preventing and slowing the complications of diabetes. If you are diagnosed with type 1 diabetes, your healthcare team will teach you about important concepts such as adapting your insulin dose to your carbohydrate intake, pre-meal blood glucose, and any anticipated activity that you might undertake.

Type 2 diabetes accounts for the majority of cases around the world — almost 90% of diabetes cases worldwide are type 2 diabetes.

It is caused when the body becomes resistant to the effects of insulin, which cannot be overcome by producing more insulin.

At the beginning, type 2 diabetes often has no symptoms at all. It develops slowly and there can often be a long period of time where the condition is undetected and undiagnosed. Instead, some people may be diagnosed after contacting their healthcare team because of complications of the condition, such as problems with their heart or vision.

There are two types of risk factors for type 2 diabetes — those that cannot be changed and those that can be changed, such as lifestyle choices [3]. Risk factors that can’t be changed include:

• Age
• Gender
• Ethnicity
• Family history of diabetes
• If you have had diabetes in pregnancy
• If you were born with a low birth weight
• Changeable and lifestyle risk factors for type 2 diabetes are: Increased body mass index (BMI) Low physical activity Poor nutrition High blood pressure Smoking Alcohol use

• Increased body mass index (BMI)
• Low physical activity
• Poor nutrition
• High blood pressure
• Smoking
• Alcohol use

Unlike type 1 diabetes, there are effective ways to prevent type 2 diabetes. Trials have shown that individuals at high risk of developing type 2 diabetes can significantly reduce their risk with certain interventions, such as lifestyle modification programs.

Regular physical activity reduces the risk of diabetes and high glycaemia, and is an important contributor to weight management, another risk factor for diabetes.

Type 2 diabetes needs to be managed. Most people will start with lifestyle changes, such as exercise or weight-loss education, as the first line of treatment. However, if these changes don’t help you achieve or maintain your blood glucose targets, medications will be used as a second line of treatment.

The management of type 2 diabetes can involve several different medications. If blood glucose is very high or causing symptoms, then insulin may be started as the first treatment. Eventually, many people with type 2 diabetes end up taking insulin as their treatment.

Gestational diabetes is a temporary condition that starts or is first recognized in pregnancy. It is usually detected and diagnosed through prenatal health screening, rather than reported symptoms.

People with gestational diabetes have an increased risk of some complications during pregnancy and delivery. These complications can also affect the baby.

There are several things that need to be monitored if a person has gestational diabetes. These include:

• Daily self-monitoring of blood glucose levels
• Ultrasound scans to assess how the baby is growing
• Monitoring of blood pressure and protein in the urine

Management for gestational diabetes includes:

• Nutritional counselling to ensure that the calories in food are enough to meet the needs of pregnancy while helping to achieve target blood glucose goals
• Insulin treatment may be started if nutritional therapy is not sufficient to manage blood glucose
• Ensuring that the baby is delivered at the right time, which is usually during the 38th week of being pregnant unless there is a reason for the baby to be born earlie

Diabetes mellitus refers to a group of diseases that affect how the body uses blood sugar (glucose). Glucose is an important source of energy for the cells that make up the muscles and tissues. It's also the brain's main source of fuel.

The main cause of diabetes varies by type. But no matter what type of diabetes you have, it can lead to excess sugar in the blood. Too much sugar in the blood can lead to serious health problems.

Chronic diabetes conditions include type 1 diabetes and type 2 diabetes. Potentially reversible diabetes conditions include prediabetes and gestational diabetes. Prediabetes happens when blood sugar levels are higher than normal. But the blood sugar levels aren't high enough to be called diabetes. And prediabetes can lead to diabetes unless steps are taken to prevent it. Gestational diabetes happens during pregnancy. But it may go away after the baby is born.

Click this link to see the list of signs and symptoms.

The early detection of diabetes and initiation of treatment is extremely important in the management of diabetes and prevention of complications.

Diabetes is a serious, chronic condition that affects millions of people, with an estimated 537 million living with diabetes across the world. Out of this, there are thought to be 240 million people living with undiagnosed diabetes — meaning that almost one-in-two adults with diabetes are unaware they have the condition. The number of people with diabetes is increasing by about 3% every year.

Diagnosing diabetes can involve a number of different tests. Click this link to learn more about how Diabetes is diagnosed.

Diabetes is a group of conditions that are characterized by high blood glucose (also known as ‘glycaemia’), which is caused by problems with insulin — a hormone produced by the pancreas in order to regulate blood glucose — and/or the receptors targeted by insulin. If someone has diabetes, their body cannot produce any or enough of the hormone insulin, or use insulin effectively.

Type 1 diabetes, which makes up 5–10% of cases, is caused by the immune system attacking the insulin-producing cells of the pancreas. Type 2 diabetes, which is about 90–95% of diagnoses, is due to a combination of resistance to the effects of insulin with some level of insulin secretion problems.

There are a number of treatments available that can help manage diabetes. Click this link to know more about treatment and management for diabetes.

Diabetes of all types can lead to complications in many different parts of the body.

Acute (short-term) complications can include conditions related to high blood glucose such as diabetic ketoacidosis (DKA) and hyperosmolar coma. Low blood glucose can also occur in all types of diabetes and may result in loss of consciousness or seizures.

Long-term complications can be classified as either microvascular or macrovascular. Microvascular complications include nervous system damage (neuropathy), kidney problems and renal system damage (nephropathy) and vision issues (retinopathy). Macrovascular complications include cardiovascular disease, stroke, and peripheral vascular disease — which may lead to infection and injury that don’t heal, especially in the feet.

While a long list of complications can seem scary, there are things that you can do to reduce the risk of these problems occurring. Improving your blood glucose levels, blood pressure and cholesterol levels can all reduce your risk of complications. Good management of your diabetes using medicines, following a healthy lifestyle, self-care, and regular screening can help to prevent complications from diabetes.

A landmark trial for people with type 1 diabetes, carried out in the late 1980s and 90s, showed that meticulous glycemic management reduced the risks of eye, kidney and nerve damage by between 30 and 90%.

Diabetes is a very common condition, shared by millions of people worldwide. There are different types of diabetes.

Diabetes can cause a range of complications, but it is important to know that there are a number of actions you can take to reduce your risk of complications significantly.

Whether you have type 1, type 2, or gestational diabetes, your healthcare team will support you with the management of your condition and answer any questions that you might have.

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/sleep-apnea,What is Sleep Apnea? | VitalAire Arabia,h1,What is Sleep Apnea?,
https://sa.vitalaire.com/sleep-apnea,What is Sleep Apnea? | VitalAire Arabia,h2,Why do we sleep?,
https://sa.vitalaire.com/sleep-apnea,What is Sleep Apnea? | VitalAire Arabia,h2,Sleep Apnea explained in 1 minute,"Sleep Apnea is an involuntary pause in breathing during sleep for at least 10 seconds. Obstructive Sleep Apnea (OSA) is the most common type, caused by an obstruction of the airways in the throat region (1,2) , it happens when the muscles relax during sleep.

Airflow is obstructed or reduced, causing vibrations that result in snoring during sleep and a drop in oxygen. The brain senses this lack of oxygen and responds with sudden, unconscious, short-lived “micro-awakenings” called resuscitative snoring to restore breathing. The repeated occurrence of frequent interruptions of breathing during the night breaks the sleep pattern, which ceases to be a restorative activity."
https://sa.vitalaire.com/sleep-apnea,What is Sleep Apnea? | VitalAire Arabia,h2,Watch this video to know more about Sleep Apnea.,"• American Sleep Association (ASA) https://www.sleepassociation.org/about-sleep/what-is-sleep/
• Rules for Scoring Respiratory Events in Sleep: Update of the 2007 AASM Manual for Scoring of Sleep and Associated Events – Journal of Clinical Sleep Medicine, Vol. 8, No. 5, 2012 https://www.sleepassociation.org/about-sleep/what-is-sleep/

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/do-i-have-sleep-apnea,Do I have Sleep Apnea? | VitalAire Arabia,h1,Do I have Sleep Apnea?,
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/do-i-have-sleep-apnea,Do I have Sleep Apnea? | VitalAire Arabia,h3,STEP 1: FIND A SLEEP SPECIALIST,"If you think you’re suffering from sleep apnea, you should make an appointment with your doctor to talk about the symptoms.

If your doctor thinks you are at risk of sleep apnea or another sleep disorder, they will refer you to a sleep specialist."
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/do-i-have-sleep-apnea,Do I have Sleep Apnea? | VitalAire Arabia,h3,STEP 2: PREPARE FOR YOUR VISIT,"Before your visit to the sleep specialist, take the Am I at Risk? link to the questionnaire. This will help assess your risk of sleep apnea.

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/what-treatment-sleep-apnea,What is the treatment for Sleep Apnea? | VitalAire Arabia,h1,What is the treatment for Sleep Apnea?,CPAP is a device that delivers a continuous stream of airway pressure to keep your airway open and prevent it from collapsing while you sleep.
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/what-treatment-sleep-apnea,What is the treatment for Sleep Apnea? | VitalAire Arabia,h2,We offer several support programs to accommodate each of your needs :,"• ST1 includes the supply of the CPAP device, its accessories, and a standard 2 year warranty
• ST2 includes ST1+ a patient initiation and follow up program for the first 30 days after the purchase of the equipment, which offers two home visits, education on OSA and CPAP therapy, and personal follow-up calls
• ST3 includes ST1 and ST2+ a therapy optimization program that offers a follow up every month for the first 3 months followed by education review and compliance assessments every 6 months

For sleep diagnostic services please Visit/Contact Us *(ST1, ST2, ST3) offer codes used for official service requests"
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/what-treatment-sleep-apnea,What is the treatment for Sleep Apnea? | VitalAire Arabia,h2,What is CPAP?,"VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/our-products-and-services,Our Products and Services | VitalAire Arabia,h1,Our Products and Services,"VitalAire Arabia offers the best therapy support and delivery of CPAP treatments as well as other benefits. A range of CPAP devices, masks, accessories and services ensures the best combination for your needs."
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/our-products-and-services,Our Products and Services | VitalAire Arabia,h3,Choose your Perfect CPAP Device and Mask Combination,"Our experts will help ease your transition and optimize your CPAP therapy outcomes.

VitalAire Arabia gives the possibility to try and test the CPAP devices before buying, ensuring self-confidence in the correct decision."
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/our-products-and-services,Our Products and Services | VitalAire Arabia,h3,More Choice with CPAP Purchases,Correct mask fitting is a key to effective CPAP therapy. That is why we offer free mask fitting at any one of our nationwide branches and showrooms.
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/our-products-and-services,Our Products and Services | VitalAire Arabia,h3,Our Team will be happy to provide you with the support you may need. Contact Us,"Benefits of Purchasing your CPAP Machine from VitaAire:

• Free CPAP mask fitting at one of our nationwide branches
• Equipment demonstration and education
• Try your device before you buy it
• Ongoing telephonic support.
• 2 years warranty on devices
• Nationwide technical service Order Now."
https://sa.vitalaire.com/sleep-apnea/sleep-apnea/our-products-and-services,Our Products and Services | VitalAire Arabia,h2,A life changing treatment,"VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/oxygen-therapy,What is Home oxygen therapy ? | VitalAire Arabia,h1,What is Home oxygen therapy ?,"Home oxygen therapy is a treatment for advanced respiratory failure managed at home. The oxygen supply compensates for pulmonary failures and improves the functioning of all your organs, which quickly translates into relief of symptoms: you are less tired, you have more energy and tone. Oxygen therapy can correct hematosis by improving the balance of gas exchange between air and blood.

Oxygen therapy involves inhaling oxygen-enriched air to correct hypoxemia (lack of oxygen in the blood) when it is severe."
https://sa.vitalaire.com/oxygen-therapy,What is Home oxygen therapy ? | VitalAire Arabia,h2,Short-term therapy,
https://sa.vitalaire.com/oxygen-therapy,What is Home oxygen therapy ? | VitalAire Arabia,h2,Long term oxygen therapy,"VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/ventilation,Ventilation Treatment | VitalAire Arabia,h1,Ventilation Treatment,
https://sa.vitalaire.com/ventilation,Ventilation Treatment | VitalAire Arabia,h3,What is Non-Invasive Ventilation?,
https://sa.vitalaire.com/ventilation,Ventilation Treatment | VitalAire Arabia,h3,Advantages of Home Based Ventilation,"• Reducing the risk of contracting a hospital infection
• Improved nutrition, adaptable to patient’s needs
• Less costly
• Home/family atmosphere which improves the patient’s psychology and attitude towards the illness
• Increased willingness for rehabilitation

The machine does not do the breathing for you. It gently boosts each breath in and out to reduce the work that you have to do. It can feel a bit strange or even uncomfortable to begin with. However, most people find that they get used to it fairly quickly."
https://sa.vitalaire.com/ventilation,Ventilation Treatment | VitalAire Arabia,h3,Benefits of Non-invasive ventilation (NIV),
https://sa.vitalaire.com/ventilation,Ventilation Treatment | VitalAire Arabia,h3,Modes of Invasive Ventilation?,"Controlled IV: the respiratory flow rate is irrespective of the patient’s respiratory efforts. The volume and respiratory rate are adjusted according to the patient’s needs Assisted IV: the patient initiates the breath and the ventilator assists each breath based on the rate setting.

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/contact-us,Visit / Contact Us | VitalAire Arabia,h1,Visit / Contact Us,"Our Customer Service aims to provide you with personalized services in a comfortable and harmonious atmosphere.

Please visit us and talk to our experts to find the best solution you need."
https://sa.vitalaire.com/contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Head Office Riyadh,"4063 Prince Fawaz Bin Abdulaziz St, 7999, Ar Rabwah, Riyadh 12813, Saudi Arabia

Tel : 9200 23202

WhatsApp: +966 50 0151 05

Visit us now."
https://sa.vitalaire.com/contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Arabia - Jeddah,"Mezzanine Floor, Office # 6 El Aqsa for Business Bldg. شركة فيتالير العربية فرع جدة, Al-Rehab, Jeddah 23345

Tel : 9200 23202

WhatsApp: +966 50 0151 059

Visit us now."
https://sa.vitalaire.com/contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Arabia - Dammam,"Hail Center, Office # 22, 4th floor, Al Najim business center, King Faisal Ibn Abd Al Aziz, Dammam

Tel : +966 9200 23302

Whatsapp: +966 50 0151 059

Visit us now.

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/visit-contact-us,Visit / Contact Us | VitalAire Arabia,h1,Visit / Contact Us,"Our Customer Service aims to provide you with personalized services in a comfortable and harmonious atmosphere.

Please visit us and talk to our experts to find the best solution you need."
https://sa.vitalaire.com/visit-contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Head Office Riyadh,"4063 Prince Fawaz Bin Abdulaziz St, 7999, Ar Rabwah, Riyadh 12813, Saudi Arabia

Tel : 9200 23202

WhatsApp: +966 50 0151 05

Visit us now."
https://sa.vitalaire.com/visit-contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Arabia - Jeddah,"Mezzanine Floor, Office # 6 El Aqsa for Business Bldg. شركة فيتالير العربية فرع جدة, Al-Rehab, Jeddah 23345

Tel : 9200 23202

WhatsApp: +966 50 0151 059

Visit us now."
https://sa.vitalaire.com/visit-contact-us,Visit / Contact Us | VitalAire Arabia,h3,VitalAire Arabia - Dammam,"Hail Center, Office # 22, 4th floor, Al Najim business center, King Faisal Ibn Abd Al Aziz, Dammam

Tel : +966 9200 23302

Whatsapp: +966 50 0151 059

Visit us now.

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h1,VitalAire Arabia,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Welcome to VitalAire Arabia,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Air Liquide Health Care,Press Release
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,VitalAire Arabia and the Saudi Arabia Ministry of Health plan to launch a new Diabetes Center of Excellence,"VitalAire Arabia and the Saudi Arabia Ministry of Health have signed, in Riyadh, a Memorandum of Understanding to establish a Diabetes Center of Excellence aiming at enhancing patient care and outcomes, and provide high-quality health services for patients living with diabetes.

The Diabetes Center of Excellence is expecting to treat more than 6,000 patients living with diabetes Type 1 diabetes. Together with the MOH, our focus will be to improve the patient journey, implementing an educational program, proposing plans of care for patients, and measuring outcomes crucial to patients’ health, and to their quality of life."
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,Click here to read the Press Release,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Who are we?,"VitalAire Arabia is the Saudi entity of VitalAire brand.

VitalAire is an international brand for homecare activities of the Air Liquide Group that specialize in Diabetes, Sleep Apnea, Oxygen Therapy, Ventilation and Home Health Care services."
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Mission,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Vision,VitalAire Arabia is committed to put patients at the heart of everything we do. We provide a unique patient-centric and collective approach to help patients achieve a better quality of life while treated for chronic diseases at home. Vitalaire Arabia is engaged to improve value in healthcare for the benefit of patients and reduce the cost for the healthcare system.
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,Our Solutions,"• Diabetes management, for insulin treated patients.
• Continuous Positive Airway Pressure (CPAP) for patients diagnosed with obstructive sleep apnea
• Home Ventilation for patients diagnosed with chronic respiratory failure
• Long-term oxygen therapy for people with chronic respiratory disease, particularly patients diagnosed with COPD (Chronic Obstructive Pulmonary Disease)

Our ambition is to always bring innovations that enhance patients’ health and provide meaningful outcomes."
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h2,Where to find us?,"3 results

• VitalAire Arabia - Dammam
• VitalAire Arabia - Jeddah
• VitalAire Arabia Head Office Riyadh"
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,VitalAire Arabia - Dammam,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,VitalAire Arabia - Jeddah,
https://sa.vitalaire.com/welcome-vitalaire-arabia,Welcome to VitalAire Arabia! | VitalAire Arabia,h3,VitalAire Arabia Head Office Riyadh,"Sunday to Thursday 8:00 AM to 5:30 PM

Phone Number

AlNajem Buisness Center, King Faisal road, AlMazruiyah - Dammam 32414, KSA, Office 22, 4th floor,

Contact us on WhatsApp / https://wa.me/+966500151059

Sunday to Thursday 8:30 AM to 5:30 PM

Phone Number

Mezzanine Floor, Office # 6 El Aqsa for Business Bldg. شركة فيتالير العربية فرع جدة, Al-Rehab, Jeddah 23345

Contact us on WhatsApp / https://wa.me/+966500151059

Sunday to Thursday 8:30 AM to 5:30 PM

Phone Number

4063 Prince Fawaz Bin Abdulaziz St, 7999, Ar Rabwah, Riyadh 12813, Saudi Arabia

Contact us on WhatsApp / https://wa.me/+966500151059

• Locations

VitalAire is the global brand for Air Liquide’s Home Healthcare activities, which supports at home 2.3 million people living with chronic disease in 2025. VitalAire benefits from 40 years of expertise in respiratory diseases (sleep apnea, long-term oxygen therapy, out-of-hospital ventilation), infusion therapies (diabetes, pulmonary arterial hypertension), and community care.

• VitalAire Worldwide
• Air Liquide Saudi Arabia
• Air Liquide Worldwide

• Shop now
• Visit Us

© VitalAire Arabia 2026

• Terms & conditions
• Legal Notice
• Accessibility
• Sitemap
• Manage cookies"
https://sa.vitalaire.com/home-healthcare/doctors-home-visit,Doctors Home Visit | VitalAire Arabia,h1,Doctors Home Visit,"Under the auspices of a group of distinguished physicians in various medical specialties, Vitalaire Arabia organizes home visits aimed at taking care of your health and your family health with the best practices and according to the highest international quality standards."
